"","x"
"1","AAH"
"2","AAM"
"3","AAY"
"4","ADA"
"5","ADJ"
"6","AGH"
"7","AGX"
"8","AIS"
"9","ALA"
"10","AMY"
"11","AOQ"
"12","APS"
"13","AQM"
"14","ASV"
"15","AUH"
"16","AUO"
"17","AVJ"
"18","AZG"
"19","BDB"
"20","BFT"
"21","BGB"
"22","BHA"
"23","BHB"
"24","BJA"
"25","BJU"
"26","BLS"
"27","BMJ"
"28","BOZ"
"29","BQN"
"30","BUW"
"31","BYZ"
"32","CAC"
"33","CAQ"
"34","CBY"
"35","CCH"
"36","CFN"
"37","CFZ"
"38","CGI"
"39","CGL"
"40","CII"
"41","CLE"
"42","CNJ"
"43","CUC"
"44","CVD"
"45","CXV"
"46","CZH"
"47","CZV"
"48","DFP"
"49","DFV"
"50","DMW"
"51","DMZ"
"52","DQG"
"53","DSL"
"54","DTA"
"55","DTD"
"56","DYM"
"57","EBI"
"58","EDY"
"59","EEI"
"60","EGI"
"61","EJK"
"62","EJQ"
"63","EKJ"
"64","ELA"
"65","ELK"
"66","ELL"
"67","EMN"
"68","EOG"
"69","EQP"
"70","EQT"
"71","EST"
"72","EVL"
"73","EXG"
"74","EYK"
"75","EYZ"
"76","FAM"
"77","FAP"
"78","FBA"
"79","FBL"
"80","FDE"
"81","FFY"
"82","FHH"
"83","FIK"
"84","FJD"
"85","FLL"
"86","FLX"
"87","FOB"
"88","FOO"
"89","FOP"
"90","FQB"
"91","FQS"
"92","FSD"
"93","FUC"
"94","FUI"
"95","FUK"
"96","FWF"
"97","FZI"
"98","FZU"
"99","GCI"
"100","GCQ"
"101","GDU"
"102","GIG"
"103","GLY"
"104","GML"
"105","GNL"
"106","GQX"
"107","GQY"
"108","GRF"
"109","GSE"
"110","GTK"
"111","GUK"
"112","GXB"
"113","GZL"
"114","HDS"
"115","HIO"
"116","HJQ"
"117","HJZ"
"118","HKH"
"119","HQM"
"120","HQO"
"121","HRB"
"122","HRQ"
"123","HRZ"
"124","HTK"
"125","HVA"
"126","HVH"
"127","HWF"
"128","HXA"
"129","HZK"
"130","IAJ"
"131","IBV"
"132","IDB"
"133","IDL"
"134","IHW"
"135","IJQ"
"136","IKV"
"137","IPL"
"138","IPS"
"139","ITQ"
"140","IUT"
"141","IVG"
"142","IWH"
"143","IWN"
"144","IYS"
"145","IZC"
"146","JAL"
"147","JAQ"
"148","JAV"
"149","JBZ"
"150","JEF"
"151","JET"
"152","JJL"
"153","JLO"
"154","JMB"
"155","JNA"
"156","JNN"
"157","JNO"
"158","JOZ"
"159","JPC"
"160","JPK"
"161","JPO"
"162","JQU"
"163","JSV"
"164","JYT"
"165","JZK"
"166","JZW"
"167","KFT"
"168","KJF"
"169","KLG"
"170","KMT"
"171","KOP"
"172","KPX"
"173","KRY"
"174","KSX"
"175","KUT"
"176","KWV"
"177","KXS"
"178","LAA"
"179","LBG"
"180","LEQ"
"181","LFS"
"182","LGC"
"183","LGW"
"184","LIQ"
"185","LJQ"
"186","LKJ"
"187","LLD"
"188","LQE"
"189","LRN"
"190","LSI"
"191","LUT"
"192","LVK"
"193","MGU"
"194","MHG"
"195","MHW"
"196","MIV"
"197","MKA"
"198","MQB"
"199","MXX"
"200","MXY"
"201","MYV"
"202","NBY"
"203","NDM"
"204","NEQ"
"205","NHF"
"206","NIG"
"207","NIN"
"208","NMA"
"209","NMO"
"210","NNT"
"211","NOP"
"212","NPA"
"213","NPW"
"214","NQE"
"215","NRD"
"216","NUX"
"217","NWK"
"218","NWN"
"219","NXY"
"220","OCG"
"221","ODA"
"222","OEH"
"223","OGV"
"224","OIO"
"225","OMJ"
"226","OMN"
"227","OOH"
"228","OPL"
"229","OPN"
"230","OQA"
"231","OTF"
"232","OUF"
"233","OUN"
"234","OYN"
"235","PAE"
"236","PER"
"237","PGV"
"238","PHW"
"239","POV"
"240","PRX"
"241","PUM"
"242","PYA"
"243","QBM"
"244","QBZ"
"245","QCK"
"246","QDM"
"247","QGJ"
"248","QJJ"
"249","QOW"
"250","QQI"
"251","QQX"
"252","QSK"
